player_id,player_name,bowling_style
fe763256,Y Venugopal Rao,Right-arm off-spin
d92e42f5,KP Appanna,Left-arm orthodox
9219eff0,JDS Neesham,Right-arm pace
f846de6a,MN Samuels,Right-arm off-spin
f752db61,JL Pattinson,Right-arm pace
20a941bb,M Ntini,Right-arm pace
b410bd3d,S Lamichhane,Right-arm leg-spin
c24a2c5d,S Tyagi,Right-arm pace
4353bba5,YA Abdulla,Left-arm orthodox
245c97cb,TS Mills,Right-arm pace
7ca5e05d,RS Bopara,Right-arm pace
5f26df4f,VS Malik,Right-arm pace
0c9652b0,HR Shokeen,Left-arm orthodox
d718440b,V Pratap Singh,Right-arm leg-spin
1647bd37,Karanveer Singh,Left-arm orthodox
1da489ff,S Kaushik,Left-arm wrist spin
9170ff49,Parvez Rasool,Right-arm off-spin
e03b66ec,Mohammad Asif,Right-arm pace
4c4fa80b,SMSM Senanayake,Right-arm off-spin
c64c2443,J Syed Mohammad,Left-arm orthodox
af7dadf7,B Akhil,Right-arm pace
4f629497,SE Bond,Right-arm pace
16043342,AB McDonald,Right-arm pace
641ac5ff,IS Sodhi,Right-arm leg-spin
b4f5c2d9,KL Nagarkoti,Right-arm pace
0dc00542,Shahid Afridi,Right-arm leg-spin
ee1b6c27,N Thushara,Right-arm pace
f5f18a18,S Randiv,Right-arm off-spin
ac5ae4af,I Udana,Right-arm pace
39f01cdb,KP Pietersen,Right-arm off-spin
b2a79f17,B Laughlin,Right-arm pace
cdc6bdba,S Sandeep Warrier,Right-arm pace
83c3e8e3,SH Johnson,Right-arm pace
75224f22,KMA Paul,Right-arm pace
529eb9e0,OC McCoy,Left-arm pace
e412cb64,HF Gurney,Left-arm pace
6ef60d3a,Kamran Khan,Left-arm pace
d1c94b25,CK Langeveldt,Right-arm pace
0c432afb,P Parameswaran,Right-arm leg-spin
acd4f5dc,DP Vijaykumar,Left-arm pace
25eeb281,PC Valthaty,Right-arm off-spin
cf73ad76,JEC Franklin,Left-arm pace
0604ef16,SB Bangar,Right-arm pace
260fd380,AM Salvi,Right-arm pace
9a963804,LE Plunkett,Right-arm pace
11614d87,D Pretorius,Right-arm pace
aaa1b522,TL Suman,Right-arm off-spin
b56dc5f7,BE Hendricks,Left-arm pace
d2340a43,Anand Rajan,Right-arm off-spin
6834d1f2,B Stanlake,Right-arm pace
a7c226e1,FH Edwards,Right-arm pace
5f4e9e8f,RR Raje,Right-arm pace
626c5379,R Sathish,Right-arm pace
fa2f1dde,K Khejroliya,Left-arm pace
a316d663,GC Viljoen,Right-arm pace
fb693839,S Ladda,Right-arm pace
a457cfb5,Mayank Dagar,Left-arm orthodox
80b2fb19,Prince Yadav,Left-arm orthodox
8ba8195d,V Sehwag,Right-arm off-spin
b2ae53f5,T Thushara,Right-arm pace
16dfcc19,Umar Gul,Right-arm pace
798cc28e,KM Asif,Right-arm pace
6ad3a659,P Amarnath,Right-arm off-spin
a1d053dd,SS Cottrell,Left-arm pace
de4b0555,R Shukla,Right-arm pace
8d92a2c3,MA Wood,Right-arm pace
8db7f47f,RJW Topley,Left-arm pace
a03bba42,T Shamsi,Left-arm wrist spin
4180d897,JE Taylor,Right-arm pace
6f49cc6e,Shivam Sharma,Left-arm orthodox
8291f939,AL Menaria,Left-arm orthodox
f18ba07f,Ankit Soni,Left-arm orthodox
d4eef961,M de Lange,Right-arm pace
287686fd,S Narwal,Right-arm pace
9a0146b3,P Sahu,Right-arm pace
469ea22b,KMDN Kulasekara,Right-arm pace
8a668774,Shoaib Ahmed,Right-arm leg-spin
d7b3a420,Jaskaran Singh,Right-arm pace
dddca1d6,SB Wagh,Right-arm pace
18e6906e,A Choudhary,Left-arm pace
cedc1d9a,P Suyal,Right-arm pace
b2570b38,RV Gomez,Right-arm pace
a9da7784,KJ Abbott,Right-arm pace
be869ccf,GHS Garton,Left-arm pace
23cca426,OF Smith,Right-arm off-spin
da934ee8,MK Lomror,Left-arm orthodox
1ee08e9a,JA Richardson,Right-arm pace
a386e91b,PD Collingwood,Right-arm pace
2815fe50,AA Jhunjhunwala,Right-arm pace
26d041c4,Sikandar Raza,Right-arm off-spin
2c76b512,DJ Muthuswami,Right-arm pace
890de8cb,Gagandeep Singh,Right-arm pace
cd8d2859,DG Nalkande,Right-arm pace
4ec07775,RN ten Doeschate,Right-arm pace
ed5a5510,P Dubey,Right-arm leg-spin
6821ac10,JJ van der Wath,Right-arm pace
3dba85c2,WA Mota,Right-arm pace
cca50cd6,LJ Wright,Right-arm pace
2f3817ce,TP Sudhindra,Right-arm off-spin
402f8494,RJ Gleeson,Right-arm pace
f842c2cf,MJ Clarke,Left-arm orthodox
ddc0828d,A Flintoff,Right-arm pace
e0351c86,DNT Zoysa,Left-arm pace
dbc50253,AP Dole,Right-arm off-spin
e38bce7a,MG Bracewell,Right-arm off-spin
a1f1829d,K Goel,Right-arm off-spin
662c47a6,Y Nagar,Left-arm orthodox
cb9b8664,W O'Rourke,Right-arm pace
249d60c9,AU Rashid,Right-arm leg-spin
c6097d68,O Thomas,Right-arm pace
63bff7f9,SM Harwood,Right-arm pace
9ab63e7b,Mohammad Hafeez,Right-arm off-spin
5f547c8b,Rashid Khan,Right-arm leg-spin
2f49c897,Mohammed Siraj,Right-arm pace
2e81a32d,B Kumar,Right-arm pace
244048f6,Arshdeep Singh,Left-arm pace
57ee1fde,YS Chahal,Right-arm leg-spin
5b7ab5a9,CV Varun,Right-arm off-spin
a818c1be,TA Boult,Left-arm pace
9d430b40,SP Narine,Right-arm off-spin
8d2c70ad,Kuldeep Yadav,Left-arm wrist spin
fe93fd9d,RA Jadeja,Left-arm orthodox
f986ca1a,HV Patel,Right-arm pace
46a9bea1,TU Deshpande,Right-arm pace
efc04be7,Noor Ahmad,Left-arm wrist spin
eef2536f,Avesh Khan,Right-arm pace
df064e1a,Ravi Bishnoi,Right-arm leg-spin
a2f46292,KK Ahmed,Right-arm pace
2e171977,AR Patel,Left-arm orthodox
5b8c830e,KH Pandya,Right-arm pace
ce820073,Sandeep Sharma,Right-arm pace
7210d461,Yash Dayal,Left-arm pace
ded9240e,PJ Cummins,Right-arm pace
64839cb3,M Pathirana,Right-arm pace
2cffab74,Mukesh Kumar,Right-arm pace
77b1aa15,Harshit Rana,Right-arm pace
e94915e6,SM Curran,Left-arm pace
ce794613,T Natarajan,Left-arm pace
462411b3,JJ Bumrah,Right-arm pace
23eeb873,DL Chahar,Right-arm pace
dbe50b21,HH Pandya,Right-arm pace
8cf9814c,Mohammed Shami,Right-arm pace
9440ef41,Suyash Sharma,Right-arm leg-spin
7c3b3b78,VG Arora,Left-arm pace
c05edf8e,Harpreet Brar,Left-arm orthodox
1abb78f8,SN Thakur,Right-arm pace
81c36ee9,M Jansen,Left-arm pace
2ed569a0,RD Chahar,Right-arm leg-spin
3fb19989,MA Starc,Left-arm pace
e62dd25d,K Rabada,Right-arm pace
4b31f3a3,Yash Thakur,Right-arm pace
5bb1a1c4,I Sharma,Right-arm pace
a97c8ec2,PWH de Silva,Right-arm leg-spin
acdc62f5,A Nortje,Right-arm pace
5574750c,JC Archer,Right-arm pace
1e66c162,JD Unadkat,Left-arm pace
e4a0deae,MJ Santner,Left-arm orthodox
119678fd,KV Sharma,Left-arm orthodox
a9fd84fb,M Markande,Right-arm leg-spin
85e0cf10,M Prasidh Krishna,Right-arm pace
c7a995d3,R Sai Kishore,Left-arm orthodox
54e52590,Vijaykumar Vyshak,Right-arm pace
3b66df7e,Akash Madhwal,Right-arm pace
b8b94ac6,Sai Sudharsan,Right-arm leg-spin
b483905d,Akash Singh,Right-arm pace
7a6b66a9,H Klaasen,Right-arm off-spin
dc91ef95,Shahbaz Ahmed,Left-arm orthodox
8e88a3ac,M Ali,Right-arm off-spin
16e6dd7d,Alzarri Joseph,Right-arm pace
05b1090e,N Jagadeesan,Right-arm off-spin
c68f3d4e,GT Linde,Left-arm orthodox
e3c4c7b9,Mohit Sharma,Right-arm pace
b0b4b9f8,K Gowtham,Right-arm off-spin
5b615e7c,Raghu Sharma,Right-arm leg-spin
bc7f92e5,Maheesh Theekshana,Right-arm off-spin
96c7e2c1,Shivam Mavi,Right-arm pace
f4b29ae4,Rahul Tewatia,Right-arm leg-spin
5a73e1b9,Gerald Coetzee,Right-arm pace
d78e52f3,Mayank Dagar,Left-arm orthodox
3241e3fd,N Pooran,Right-arm off-spin
0c7c2e9f,Abhinav Manohar,Right-arm off-spin
5e8b3c44,Shashank Singh,Right-arm off-spin
a34b2b76,Naveen-ul-Haq,Right-arm pace
b1ad996b,Mayank Yadav,Right-arm pace
e84ac20c,MJ Henry,Right-arm pace
dea50fcc,Marcus Stoinis,Right-arm pace
c8e48e3e,Sikandar Raza,Right-arm off-spin
f8d5c2a1,Shamar Joseph,Right-arm pace
7f3d4b22,Akeal Hosein,Left-arm orthodox
e5c3f1a4,Lockie Ferguson,Right-arm pace
a7b2e8c9,Sherfane Rutherford,Right-arm off-spin
2b94d7f3,Tim David,Right-arm off-spin
9c2f5e8a,Nehal Wadhera,Right-arm off-spin
8a1e3b7c,Tilak Varma,Right-arm off-spin
b7f4a2c8,Devdutt Padikkal,Left-arm orthodox
f2a7c5d4,Tristan Stubbs,Right-arm off-spin
6e9b3a2f,Spencer Johnson,Left-arm pace
a4c8f1e7,Josh Inglis,Right-arm off-spin
3d2c9e8b,Quinton de Kock,Right-arm off-spin
7b5f2a4c,Anuj Rawat,Right-arm off-spin
c9e1f3b8,Dhruv Jurel,Right-arm off-spin
e6a4b2d9,Kumar Kartikeya,Right-arm leg-spin
2f7c9a4e,Vaibhav Arora,Right-arm pace
8c3e5f1a,Yash Dhull,Right-arm off-spin
d4b7e9c2,Ajinkya Rahane,Right-arm off-spin
f1c8a3e6,Rovman Powell,Right-arm off-spin
5a2d9f7c,Angkrish Raghuvanshi,Right-arm off-spin
b3e6c1a8,Abhishek Porel,Right-arm off-spin
9f4a2e7b,Rajvardhan Hangargekar,Right-arm pace
c2e8b5f3,Rasikh Salam,Right-arm pace
7d1f9a4c,Manav Suthar,Left-arm orthodox
e9c3f6b1,Tushar Deshpande,Right-arm pace
03806cf8,JR Hazlewood,Right-arm pace
13fc5c6d,DS Rathi,Right-arm leg-spin
c33d8116,Mohsin Khan,Left-arm pace
8f6dd463,Azmatullah Omarzai,Right-arm pace
9eb1455b,NT Ellis,Right-arm pace
12314277,Arshad Khan,Left-arm pace
2f9d0389,LH Ferguson,Right-arm pace
d9273ee7,MP Stoinis,Right-arm pace
5ffc0565,V Nigam,Right-arm leg-spin
36619795,Zeeshan Ansari,Right-arm leg-spin
f19ccfad,Washington Sundar,Right-arm off-spin
fcc21ace,A Kamboj,Right-arm pace
f29185a1,Abhishek Sharma,Left-arm orthodox
3d8feaf8,MR Marsh,Right-arm pace
50c6bc2b,LS Livingstone,Right-arm leg-spin
0a67aec0,Akash Deep,Right-arm pace
5750bcb4,E Malinga,Right-arm pace
c5aef772,R Shepherd,Right-arm pace
aad0c365,Nithish Kumar Reddy,Right-arm pace
4885bbe6,Yudhvir Singh,Right-arm pace
9caf69a1,WG Jacks,Right-arm off-spin
04a418e8,R Parag,Right-arm leg-spin
6a26221c,AK Markram,Right-arm off-spin
81c08fa3,Umran Malik,Right-arm pace
d45c29b1,Ashwani Kumar,Left-arm pace
b1ad996b,MP Yadav,Right-arm pace
327b58d3,PVD Chameera,Right-arm pace
e4cdf230,AS Roy,Left-arm orthodox
465aa633,N Burger,Left-arm pace
983f2f61,Swapnil Singh,Left-arm orthodox
cf0ccafa,M Siddharth,Left-arm orthodox
68c56d09,KA Jamieson,Right-arm pace
2e78f685,KR Sen,Right-arm pace
44aac2f0,Arjun Tendulkar,Left-arm pace
1e030637,V Puthur,Left-arm wrist spin
107c26fb,KT Maphaka,Left-arm pace
fb2d1dda,N Rana,Right-arm off-spin
5d2eea49,Kartik Tyagi,Right-arm pace
25228673,Harsh Dubey,Right-arm off-spin
03a83c50,V Viyaskanth,Right-arm off-spin
3b53243a,XC Bartlett,Right-arm pace
fffa744b,Naman Dhir,Right-arm off-spin
f834dcfc,L Ngidi,Right-arm pace
08548b13,PHKD Mendis,Right-arm off-spin
172dff15,C Bosch,Right-arm pace
765a4731,Mukesh Choudhary,Left-arm pace
73c18486,KR Mayers,Right-arm pace
7a8bd078,S Gopal,Right-arm leg-spin
030f3089,K Yadav,Right-arm leg-spin
a1d95bd8,LB Williams,Right-arm pace
9a46c4e5,Glenn Phillips,Right-arm off-spin
be24ead0,Ramandeep Singh,Right-arm medium
7c3c0337,Auqib Nabi,Right-arm pace
a3b0600d,Aniket Verma,Right-arm pace
