team_name,player_name,player_id,role,bowling_type,batting_hand,ipl_batting_innings,ipl_batting_balls,ipl_batting_runs,ipl_batting_sr,ipl_batting_avg,ipl_boundary_pct,ipl_bowling_matches,ipl_bowling_balls,ipl_bowling_wickets,ipl_bowling_economy,ipl_bowling_avg,ipl_dot_ball_pct,batting_sample_size,bowling_sample_size
Chennai Super Kings,Nathan Ellis,9eb1455b,Bowler,Fast,Right-hand,5,25.0,19.0,76.0,4.75,4.0,17,378.0,19.0,8.78,29.11,30.95,LOW,HIGH
Chennai Super Kings,Urvil Patel,cf59b3f0,Wicketkeeper,Medium,Right-hand,3,32.0,68.0,212.5,22.67,34.38,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Chennai Super Kings,Mukesh Choudhary,765a4731,Bowler,Fast,Left-hand,2,6.0,6.0,100.0,0.0,16.67,16,315.0,17.0,9.96,30.76,41.59,LOW,HIGH
Chennai Super Kings,Jamie Overton,59559bc2,All-rounder,Fast,Right-hand,2,7.0,15.0,214.29,0.0,28.57,3,36.0,0.0,14.0,0.0,25.0,LOW,LOW
Chennai Super Kings,Akeal Hosein,4d7f517e,Bowler,Left-arm orthodox,Left-hand,1,10.0,16.0,160.0,0.0,20.0,1,24.0,1.0,10.25,41.0,20.83,LOW,LOW
Chennai Super Kings,Matt Henry,e84ac20c,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,6,102.0,2.0,10.76,91.5,30.39,UNCAPPED,MEDIUM
Chennai Super Kings,Prashant Veer,e148e6bd,All-rounder,Off-spin,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Chennai Super Kings,Ramakrishna Ghosh,,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Chennai Super Kings,Zak Foulkes,30f92334,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,KL Rahul,b17e2f24,Wicketkeeper,Medium,Right-hand,135,3828.0,5222.0,136.42,47.47,17.24,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Delhi Capitals,David Miller,d67d5f00,Batter,Off-spin,Left-hand,133,2212.0,3077.0,139.1,37.07,16.18,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Delhi Capitals,Axar Patel,2e171977,All-rounder,Left-arm orthodox,Left-hand,123,1426.0,1916.0,134.36,22.81,15.71,160,3315.0,128.0,7.48,32.27,32.73,HIGH,HIGH
Delhi Capitals,Nitish Rana,fb2d1dda,Batter,Left-arm orthodox,Left-hand,112,2080.0,2853.0,137.16,27.97,19.33,26,192.0,10.0,8.47,27.1,30.21,HIGH,MEDIUM
Delhi Capitals,Prithvi Shaw,8b3e9c7c,Batter,Leg-spin,Right-hand,79,1280.0,1892.0,147.81,24.89,23.36,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Delhi Capitals,Karun Nair,944533a5,Batter,Off-spin,Right-hand,76,1284.0,1694.0,131.93,24.91,18.22,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Delhi Capitals,Kuldeep Yadav,8d2c70ad,Bowler,Left-arm wrist spin,Left-hand,37,232.0,201.0,86.64,16.75,9.05,96,2064.0,102.0,8.15,27.5,30.33,MEDIUM,HIGH
Delhi Capitals,Tristan Stubbs,85b3fab2,All-rounder,Medium,Right-hand,30,431.0,705.0,163.57,47.0,20.42,5,36.0,4.0,11.5,17.25,33.33,MEDIUM,LOW
Delhi Capitals,Abhishek Porel,ad3b6e95,Wicketkeeper,Medium,Right-hand,29,440.0,661.0,150.23,25.42,20.91,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Delhi Capitals,Mitchell Starc,3fb19989,Bowler,Fast,Left-hand,21,119.0,111.0,93.28,11.1,9.24,50,1059.0,65.0,8.93,24.26,39.28,MEDIUM,HIGH
Delhi Capitals,Ashutosh Sharma,84d9c311,All-rounder,Off-spin,Right-hand,18,236.0,393.0,166.53,28.07,22.03,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Delhi Capitals,Dushmantha Chameera,327b58d3,Bowler,Fast,Right-hand,10,42.0,53.0,126.19,17.67,14.29,19,384.0,13.0,10.0,49.23,38.02,LOW,HIGH
Delhi Capitals,Kyle Jamieson,68c56d09,Bowler,Fast,Right-hand,9,60.0,65.0,108.33,21.67,13.33,13,258.0,14.0,9.72,29.86,39.92,LOW,MEDIUM
Delhi Capitals,Sameer Rizvi,f89d3b11,Batter,Medium,Right-hand,9,122.0,172.0,140.98,24.57,19.67,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Delhi Capitals,Vipraj Nigam,5ffc0565,Batter,Medium,Right-hand,8,78.0,142.0,182.05,28.4,30.77,13,234.0,11.0,9.26,32.82,30.77,LOW,MEDIUM
Delhi Capitals,Mukesh Kumar,2cffab74,Bowler,Fast,Right-hand,5,18.0,10.0,55.56,10.0,0.0,32,636.0,36.0,10.55,31.06,32.86,LOW,HIGH
Delhi Capitals,T Natarajan,ce794613,Bowler,Fast,Left-hand,2,5.0,3.0,60.0,0.0,0.0,63,1362.0,68.0,9.05,30.21,31.06,LOW,HIGH
Delhi Capitals,Madhav Tiwari,fb5f69e4,All-rounder,Medium,Right-hand,1,4.0,3.0,75.0,3.0,0.0,1,6.0,0.0,14.0,0.0,0.0,LOW,LOW
Delhi Capitals,Lungi Ngidi,f834dcfc,Bowler,Fast,Right-hand,1,2.0,0.0,0.0,0.0,0.0,16,372.0,29.0,8.73,18.66,38.71,LOW,HIGH
Delhi Capitals,Sahil Parakh,,All-rounder,Leg-spin,Left-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,Ajay Mandal,31ee319e,All-rounder,Medium,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,Pathum Nissanka,8ee36b18,Batter,Off-spin,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,Ben Duckett,5f26f677,Batter,Medium,Left-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,Tripurana Vijay,51ec3919,Batter,Medium,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Delhi Capitals,Auqib Nabi Dar,557550a4,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Gujarat Titans,Jos Buttler,99b75528,Wicketkeeper,Medium,Right-hand,119,2747.0,4120.0,149.98,41.2,21.59,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Gujarat Titans,Shubman Gill,b4b99816,Batter,Off-spin,Right-hand,114,2774.0,3866.0,139.37,40.69,17.7,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Gujarat Titans,Rahul Tewatia,39a2dfa8,All-rounder,Leg-spin,Left-hand,76,807.0,1112.0,137.79,24.17,17.84,52,843.0,32.0,7.95,34.91,31.32,HIGH,HIGH
Gujarat Titans,Rashid Khan,5f547c8b,Bowler,Leg-spin,Right-hand,66,359.0,585.0,162.95,13.93,22.84,136,3189.0,158.0,7.23,24.32,35.9,MEDIUM,HIGH
Gujarat Titans,Washington Sundar,f19ccfad,All-rounder,Off-spin,Left-hand,43,404.0,511.0,126.49,16.48,14.36,63,1119.0,39.0,7.76,37.1,33.15,MEDIUM,HIGH
Gujarat Titans,Sai Sudharsan,d5130a30,Batter,Medium,Left-hand,40,1221.0,1793.0,146.85,51.23,19.33,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Gujarat Titans,Shahrukh Khan,f088b960,Batter,Medium,Right-hand,36,444.0,585.0,131.76,22.5,17.34,1,2.0,0.0,18.0,0.0,0.0,MEDIUM,LOW
Gujarat Titans,Kagiso Rabada,e62dd25d,Bowler,Fast,Right-hand,30,200.0,215.0,107.5,13.44,12.5,84,1904.0,119.0,8.85,23.59,38.6,MEDIUM,HIGH
Gujarat Titans,Ishant Sharma,5bb1a1c4,Bowler,Fast,Right-hand,21,69.0,57.0,82.61,9.5,8.7,117,2419.0,96.0,8.59,36.09,41.3,LOW,HIGH
Gujarat Titans,Mohammed Siraj,2f49c897,Bowler,Fast,Right-hand,21,121.0,112.0,92.56,12.44,11.57,108,2300.0,109.0,8.96,31.5,41.17,MEDIUM,HIGH
Gujarat Titans,Anuj Rawat,c8f5f961,Wicketkeeper,Medium,Left-hand,21,267.0,318.0,119.1,22.71,14.98,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Gujarat Titans,Arshad Khan,12314277,All-rounder,Medium,Right-hand,11,88.0,124.0,140.91,20.67,17.05,19,272.0,12.0,11.63,43.92,34.56,LOW,MEDIUM
Gujarat Titans,Glenn Phillips,9a46c4e5,All-rounder,Off-spin,Right-hand,8,54.0,65.0,120.37,9.29,16.67,4,30.0,2.0,8.0,20.0,33.33,LOW,LOW
Gujarat Titans,Prasidh Krishna,85e0cf10,Bowler,Fast,Right-hand,7,24.0,9.0,37.5,4.5,0.0,66,1500.0,74.0,8.95,30.23,40.6,LOW,HIGH
Gujarat Titans,Sai Kishore,c7a995d3,Bowler,Left-arm orthodox,Left-hand,4,16.0,18.0,112.5,6.0,12.5,25,441.0,32.0,8.91,20.47,29.48,LOW,HIGH
Gujarat Titans,Jayant Yadav,81049310,All-rounder,Off-spin,Right-hand,4,36.0,40.0,111.11,20.0,8.33,20,390.0,8.0,6.88,55.88,39.23,LOW,HIGH
Gujarat Titans,Kumar Kushagra,57ca01b3,Wicketkeeper,Medium,Right-hand,3,7.0,3.0,42.86,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Gujarat Titans,Manav Suthar,025c4400,Bowler,Left-arm orthodox,Left-hand,1,2.0,1.0,50.0,1.0,0.0,1,12.0,0.0,13.0,0.0,33.33,LOW,LOW
Gujarat Titans,Gurnoor Brar,99258814,All-rounder,Left-arm orthodox,Left-hand,0,0.0,0.0,0.0,0.0,0.0,1,18.0,0.0,14.0,0.0,38.89,UNCAPPED,LOW
Gujarat Titans,Nishant Sindhu,3cea23da,All-rounder,Left-arm orthodox,Left-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Kolkata Knight Riders,Ajinkya Rahane,29e95537,Batter,Medium,Right-hand,183,4021.0,5032.0,125.14,31.45,15.87,1,6.0,1.0,5.0,5.0,33.33,HIGH,LOW
Kolkata Knight Riders,Manish Pandey,93b4fc78,Batter,Medium,Right-hand,161,3235.0,3942.0,121.85,29.86,14.06,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Kolkata Knight Riders,Sunil Narine,9d430b40,All-rounder,Off-spin,Left-hand,118,1068.0,1780.0,166.67,18.74,28.56,187,4345.0,192.0,6.93,26.14,38.04,HIGH,HIGH
Kolkata Knight Riders,Rahul Tripathi,77255a9e,Batter,Leg-spin,Right-hand,98,1655.0,2291.0,138.43,26.95,18.97,1,6.0,0.0,12.0,0.0,0.0,HIGH,LOW
Kolkata Knight Riders,Rinku Singh,0a509d6b,Batter,Medium,Left-hand,51,750.0,1099.0,146.53,30.53,19.07,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Kolkata Knight Riders,Rovman Powell,650d5e49,Batter,Medium,Right-hand,23,249.0,365.0,146.59,18.25,20.08,2,18.0,1.0,11.67,35.0,22.22,MEDIUM,LOW
Kolkata Knight Riders,Ramandeep Singh,be24ead0,All-rounder,Medium,Right-hand,20,135.0,217.0,160.74,19.73,19.26,4,40.0,6.0,9.6,10.67,30.0,MEDIUM,LOW
Kolkata Knight Riders,Rachin Ravindra,ba5e1069,All-rounder,Left-arm orthodox,Left-hand,18,284.0,413.0,145.42,25.81,19.72,2,12.0,0.0,3.5,0.0,41.67,MEDIUM,LOW
Kolkata Knight Riders,Angkrish Raghuvanshi,d7017798,Batter,Medium,Right-hand,18,319.0,463.0,145.14,28.94,19.44,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Kolkata Knight Riders,Varun Chakravarthy,5b7ab5a9,Bowler,Off-spin,Right-hand,11,47.0,26.0,55.32,13.0,4.26,83,1890.0,100.0,7.72,24.32,36.83,LOW,HIGH
Kolkata Knight Riders,Harshit Rana,77b1aa15,Bowler,Fast,Right-hand,10,55.0,59.0,107.27,9.83,14.55,32,649.0,40.0,9.68,26.18,38.06,LOW,HIGH
Kolkata Knight Riders,Vaibhav Arora,7c3b3b78,Bowler,Fast,Right-hand,9,24.0,9.0,37.5,2.25,0.0,32,639.0,36.0,9.66,28.58,37.09,LOW,HIGH
Kolkata Knight Riders,Anukul Roy,e4cdf230,All-rounder,Left-arm orthodox,Left-hand,7,25.0,26.0,104.0,6.5,12.0,10,160.0,6.0,8.18,36.33,35.0,LOW,MEDIUM
Kolkata Knight Riders,Kartik Tyagi,5d2eea49,Bowler,Fast,Right-hand,6,16.0,13.0,81.25,3.25,6.25,20,422.0,15.0,10.24,48.0,35.07,LOW,HIGH
Kolkata Knight Riders,Umran Malik,81c08fa3,Bowler,Fast,Right-hand,5,15.0,23.0,153.33,23.0,20.0,26,494.0,29.0,9.53,27.07,41.5,LOW,HIGH
Kolkata Knight Riders,Akash Deep,0a67aec0,Bowler,Fast,Right-hand,5,14.0,25.0,178.57,8.33,28.57,14,278.0,10.0,11.96,55.4,32.01,LOW,MEDIUM
Kolkata Knight Riders,Finn Allen,b52ffbbd,Wicketkeeper,Medium,Right-hand,3,18.0,14.0,77.78,7.0,5.56,4,90.0,2.0,9.07,68.0,28.89,LOW,MEDIUM
Kolkata Knight Riders,Tim Seifert,4663bd23,Wicketkeeper,Medium,Right-hand,3,23.0,26.0,113.04,8.67,17.39,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Kolkata Knight Riders,Tejasvi Singh,0bf15e52,Wicketkeeper,Medium,Right-hand,0,0.0,0.0,0.0,0.0,0.0,1,24.0,1.0,8.5,34.0,50.0,UNCAPPED,LOW
Kolkata Knight Riders,Cameron Green,19b9f399,All-rounder,Fast,Left-hand,0,0.0,0.0,0.0,0.0,0.0,1,17.0,0.0,8.47,0.0,35.29,UNCAPPED,LOW
Kolkata Knight Riders,Prashant Solanki,c695b423,Bowler,Left-arm orthodox,Left-hand,0,0.0,0.0,0.0,0.0,0.0,2,36.0,2.0,6.5,19.5,30.56,UNCAPPED,LOW
Kolkata Knight Riders,Matheesha Pathirana,64839cb3,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,32,702.0,47.0,8.95,22.28,33.62,UNCAPPED,HIGH
Kolkata Knight Riders,Daksh Kamra,1a628a92,All-rounder,Medium,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Kolkata Knight Riders,Sarthak Ranjan,d7cdefa9,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Lucknow Super Giants,Rishabh Pant,919a3be2,Wicketkeeper,Medium,Left-hand,123,2398.0,3553.0,148.17,34.83,20.43,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Lucknow Super Giants,Nicholas Pooran,3241e3fd,Wicketkeeper,Medium,Left-hand,86,1353.0,2293.0,169.48,35.83,24.02,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Lucknow Super Giants,Aiden Markram,6a26221c,All-rounder,Off-spin,Right-hand,55,1062.0,1440.0,135.59,31.3,15.82,19,187.0,6.0,8.82,45.83,25.13,HIGH,MEDIUM
Lucknow Super Giants,Abdul Samad,8e514b4c,Batter,Leg-spin,Right-hand,51,485.0,741.0,152.78,20.03,19.59,6,56.0,2.0,12.75,59.5,21.43,MEDIUM,LOW
Lucknow Super Giants,Mitchell Marsh,3d8feaf8,All-rounder,Fast,Right-hand,49,902.0,1292.0,143.24,29.36,19.84,34,560.0,37.0,8.6,21.7,32.32,HIGH,HIGH
Lucknow Super Giants,Ayush Badoni,872b03f7,Batter,Leg-spin,Right-hand,46,693.0,963.0,138.96,27.51,16.02,7,35.0,4.0,8.57,12.5,22.86,HIGH,LOW
Lucknow Super Giants,Mohammed Shami,8cf9814c,Bowler,Fast,Right-hand,27,89.0,84.0,94.38,6.0,10.11,119,2607.0,133.0,8.81,28.77,39.78,LOW,HIGH
Lucknow Super Giants,Wanindu Hasaranga,a97c8ec2,All-rounder,Leg-spin,Right-hand,19,88.0,81.0,92.05,5.4,9.09,37,798.0,46.0,8.53,24.65,33.08,LOW,HIGH
Lucknow Super Giants,Anrich Nortje,acdc62f5,Bowler,Fast,Right-hand,13,49.0,49.0,100.0,9.8,12.24,48,1096.0,61.0,9.31,27.89,37.86,LOW,HIGH
Lucknow Super Giants,Avesh Khan,eef2536f,Bowler,Fast,Right-hand,13,37.0,62.0,167.57,31.0,27.03,75,1619.0,87.0,9.25,28.7,35.08,LOW,HIGH
Lucknow Super Giants,Josh Inglis,989889ff,Wicketkeeper,Medium,Right-hand,11,171.0,278.0,162.57,30.89,24.56,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Lucknow Super Giants,Mohsin Khan,c33d8116,Bowler,Fast,Left-hand,5,24.0,25.0,104.17,12.5,12.5,23,486.0,27.0,8.62,25.85,43.0,LOW,HIGH
Lucknow Super Giants,Arshin Kulkarni,2d140b79,All-rounder,Off-spin,Right-hand,2,8.0,9.0,112.5,4.5,25.0,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Lucknow Super Giants,Digvesh Rathi,13fc5c6d,Wicketkeeper,Medium,Right-hand,1,3.0,1.0,33.33,1.0,0.0,13,312.0,14.0,8.37,31.07,30.45,LOW,HIGH
Lucknow Super Giants,Arjun Tendulkar,44aac2f0,Bowler,Fast,Left-hand,1,9.0,13.0,144.44,13.0,11.11,5,73.0,3.0,9.62,39.0,41.1,LOW,MEDIUM
Lucknow Super Giants,Matthew Breetzke,35f173a0,Batter,Medium,Right-hand,1,12.0,14.0,116.67,14.0,16.67,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Lucknow Super Giants,Akash Singh,b483905d,Bowler,Fast,Left-hand,0,0.0,0.0,0.0,0.0,0.0,10,205.0,9.0,9.54,36.22,35.61,UNCAPPED,MEDIUM
Lucknow Super Giants,Manimaran Siddharth,cf0ccafa,Bowler,Left-arm orthodox,Left-hand,0,0.0,0.0,0.0,0.0,0.0,5,97.0,3.0,8.66,46.67,34.02,UNCAPPED,MEDIUM
Lucknow Super Giants,Mayank Yadav,c6355538,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Lucknow Super Giants,Himmat Singh,ebcfef83,All-rounder,Off-spin,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Mumbai Indians,Rohit Sharma,740742ef,Batter,Off-spin,Right-hand,266,5315.0,7046.0,132.57,29.98,17.74,32,339.0,15.0,8.18,30.8,25.96,HIGH,HIGH
Mumbai Indians,Suryakumar Yadav,271f83cd,Batter,Off-spin,Right-hand,151,2888.0,4311.0,149.27,36.23,21.54,1,6.0,0.0,8.0,0.0,33.33,HIGH,LOW
Mumbai Indians,Hardik Pandya,dbe50b21,All-rounder,Fast,Right-hand,140,1862.0,2749.0,147.64,28.94,19.12,107,1628.0,78.0,9.36,32.58,33.48,HIGH,HIGH
Mumbai Indians,Quinton de Kock,372455c4,Wicketkeeper,Medium,Left-hand,115,2462.0,3309.0,134.4,31.51,18.64,0,0.0,0.0,0.0,0.0,0.0,HIGH,UNCAPPED
Mumbai Indians,Tilak Varma,b0482a1d,All-rounder,Off-spin,Left-hand,51,1032.0,1499.0,145.25,39.45,18.12,4,22.0,0.0,7.64,0.0,36.36,HIGH,LOW
Mumbai Indians,Shardul Thakur,1abb78f8,All-rounder,Fast,Right-hand,40,232.0,325.0,140.09,12.5,18.53,102,2070.0,107.0,9.52,30.69,33.77,MEDIUM,HIGH
Mumbai Indians,Jasprit Bumrah,462411b3,Bowler,Fast,Right-hand,27,78.0,68.0,87.18,11.33,7.69,145,3337.0,183.0,7.43,22.58,40.37,LOW,HIGH
Mumbai Indians,Trent Boult,a818c1be,Bowler,Fast,Left-hand,24,81.0,85.0,104.94,10.63,9.88,119,2683.0,143.0,8.48,26.51,41.37,LOW,HIGH
Mumbai Indians,Mohammed Izhar,2f49c897,Bowler,Fast,Right-hand,21,121.0,112.0,92.56,12.44,11.57,108,2300.0,109.0,8.96,31.5,41.17,MEDIUM,HIGH
Mumbai Indians,Sherfane Rutherford,d014d5ac,All-rounder,Medium,Left-hand,20,288.0,397.0,137.85,24.81,17.71,6,41.0,1.0,8.78,60.0,17.07,MEDIUM,LOW
Mumbai Indians,Mitchell Santner,e4a0deae,All-rounder,Left-arm orthodox,Left-hand,19,103.0,110.0,106.8,13.75,11.65,31,603.0,25.0,7.4,29.76,34.83,MEDIUM,HIGH
Mumbai Indians,Naman Dhir,fffa744b,All-rounder,Left-arm orthodox,Left-hand,19,216.0,392.0,181.48,28.0,27.78,5,52.0,0.0,8.77,0.0,21.15,MEDIUM,LOW
Mumbai Indians,Will Jacks,9caf69a1,All-rounder,Off-spin,Right-hand,19,302.0,463.0,153.31,28.94,22.19,13,138.0,8.0,9.61,27.63,30.43,MEDIUM,MEDIUM
Mumbai Indians,Deepak Chahar,23eeb873,Bowler,Fast,Right-hand,16,84.0,117.0,139.29,14.63,15.48,95,1915.0,88.0,8.21,29.78,42.51,LOW,HIGH
Mumbai Indians,Ryan Rickelton,e66732f8,Batter,Medium,Left-hand,14,255.0,388.0,152.16,29.85,25.1,0,0.0,0.0,0.0,0.0,0.0,MEDIUM,UNCAPPED
Mumbai Indians,Mayank Markande,a9fd84fb,Bowler,Leg-spin,Right-hand,10,42.0,48.0,114.29,16.0,14.29,37,720.0,37.0,9.01,29.22,29.17,LOW,HIGH
Mumbai Indians,Raj Bawa,ba6b2f91,All-rounder,Fast,Left-hand,3,18.0,19.0,105.56,9.5,5.56,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Mumbai Indians,Corbin Bosch,172dff15,All-rounder,Fast,Right-hand,2,32.0,47.0,146.88,23.5,18.75,2,42.0,1.0,8.0,56.0,54.76,LOW,LOW
Mumbai Indians,Robin Minz,bafd0398,Wicketkeeper,Medium,Right-hand,2,15.0,6.0,40.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,LOW,UNCAPPED
Mumbai Indians,Ashwani Kumar,d45c29b1,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,7,123.0,11.0,11.41,21.27,28.46,UNCAPPED,MEDIUM
Mumbai Indians,AM Ghazanfar,9ca68676,Bowler,Off-spin,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Mumbai Indians,Danish Malewar,,Batter,Leg-spin,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Mumbai Indians,Atharva Ankolekar,d6cd318e,Bowler,Left-arm orthodox,Left-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
Mumbai Indians,Raghu Sharma,5b615e7c,Bowler,Fast,Right-hand,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,UNCAPPED,UNCAPPED
