team_name,player_name,player_id,role,bowling_type,ipl_batting_innings,ipl_batting_balls,ipl_batting_runs,ipl_batting_sr,ipl_bowling_matches,ipl_bowling_balls,ipl_bowling_wickets,ipl_bowling_economy
Delhi Capitals,Nitish Rana,fb2d1dda,Batter,Left-arm orthodox,112,2080.0,2853.0,137.16,26,192.0,10.0,8.47
Delhi Capitals,Prithvi Shaw,8b3e9c7c,Batter,Leg-spin,79,1280.0,1892.0,147.81,0,0.0,0.0,0.0
Delhi Capitals,Karun Nair,944533a5,Batter,Off-spin,76,1284.0,1694.0,131.93,0,0.0,0.0,0.0
Delhi Capitals,Kuldeep Yadav,8d2c70ad,Bowler,Left-arm wrist spin,37,232.0,201.0,86.64,96,2064.0,102.0,8.15
Delhi Capitals,Tristan Stubbs,85b3fab2,All-rounder,Medium,30,431.0,705.0,163.57,5,36.0,4.0,11.5
Delhi Capitals,Abhishek Porel,ad3b6e95,Wicketkeeper,Medium,29,440.0,661.0,150.23,0,0.0,0.0,0.0
Delhi Capitals,Mitchell Starc,3fb19989,Bowler,Fast,21,119.0,111.0,93.28,50,1059.0,65.0,8.93
Delhi Capitals,Ashutosh Sharma,84d9c311,All-rounder,Off-spin,18,236.0,393.0,166.53,0,0.0,0.0,0.0
Delhi Capitals,Dushmantha Chameera,327b58d3,Bowler,Fast,10,42.0,53.0,126.19,19,384.0,13.0,10.0
Delhi Capitals,Kyle Jamieson,68c56d09,Bowler,Fast,9,60.0,65.0,108.33,13,258.0,14.0,9.72
Delhi Capitals,Sameer Rizvi,f89d3b11,Batter,Medium,9,122.0,172.0,140.98,0,0.0,0.0,0.0
Delhi Capitals,Vipraj Nigam,5ffc0565,Batter,Medium,8,78.0,142.0,182.05,13,234.0,11.0,9.26
Delhi Capitals,Mukesh Kumar,2cffab74,Bowler,Fast,5,18.0,10.0,55.56,32,636.0,36.0,10.55
Delhi Capitals,T Natarajan,ce794613,Bowler,Fast,2,5.0,3.0,60.0,63,1362.0,68.0,9.05
Delhi Capitals,Madhav Tiwari,fb5f69e4,All-rounder,Medium,1,4.0,3.0,75.0,1,6.0,0.0,14.0
Delhi Capitals,Lungi Ngidi,f834dcfc,Bowler,Fast,1,2.0,0.0,0.0,16,372.0,29.0,8.73
Delhi Capitals,Sahil Parakh,,All-rounder,Leg-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Delhi Capitals,Ajay Mandal,31ee319e,All-rounder,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Delhi Capitals,Pathum Nissanka,8ee36b18,Batter,Off-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Delhi Capitals,Ben Duckett,5f26f677,Batter,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Delhi Capitals,Tripurana Vijay,51ec3919,Batter,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Delhi Capitals,Auqib Nabi Dar,557550a4,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gujarat Titans,Jos Buttler,99b75528,Wicketkeeper,Medium,119,2747.0,4120.0,149.98,0,0.0,0.0,0.0
Gujarat Titans,Shubman Gill,b4b99816,Batter,Off-spin,114,2774.0,3866.0,139.37,0,0.0,0.0,0.0
Gujarat Titans,Rahul Tewatia,39a2dfa8,All-rounder,Leg-spin,76,807.0,1112.0,137.79,52,843.0,32.0,7.95
Gujarat Titans,Rashid Khan,5f547c8b,Bowler,Leg-spin,66,359.0,585.0,162.95,136,3189.0,158.0,7.23
Gujarat Titans,Washington Sundar,f19ccfad,All-rounder,Off-spin,43,404.0,511.0,126.49,63,1119.0,39.0,7.76
Gujarat Titans,Sai Sudharsan,d5130a30,Batter,Medium,40,1221.0,1793.0,146.85,0,0.0,0.0,0.0
Gujarat Titans,Shahrukh Khan,f088b960,Batter,Medium,36,444.0,585.0,131.76,1,2.0,0.0,18.0
Gujarat Titans,Kagiso Rabada,e62dd25d,Bowler,Fast,30,200.0,215.0,107.5,84,1904.0,119.0,8.85
Gujarat Titans,Ishant Sharma,5bb1a1c4,Bowler,Fast,21,69.0,57.0,82.61,117,2419.0,96.0,8.59
Gujarat Titans,Mohammed Siraj,2f49c897,Bowler,Fast,21,121.0,112.0,92.56,108,2300.0,109.0,8.96
Gujarat Titans,Anuj Rawat,c8f5f961,Wicketkeeper,Medium,21,267.0,318.0,119.1,0,0.0,0.0,0.0
Gujarat Titans,Arshad Khan,12314277,All-rounder,Medium,11,88.0,124.0,140.91,19,272.0,12.0,11.63
Gujarat Titans,Glenn Phillips,9a46c4e5,All-rounder,Off-spin,8,54.0,65.0,120.37,4,30.0,2.0,8.0
Gujarat Titans,Prasidh Krishna,85e0cf10,Bowler,Fast,7,24.0,9.0,37.5,66,1500.0,74.0,8.95
Gujarat Titans,Sai Kishore,c7a995d3,Bowler,Left-arm orthodox,4,16.0,18.0,112.5,25,441.0,32.0,8.91
Gujarat Titans,Jayant Yadav,81049310,All-rounder,Off-spin,4,36.0,40.0,111.11,20,390.0,8.0,6.88
Gujarat Titans,Kumar Kushagra,57ca01b3,Wicketkeeper,Medium,3,7.0,3.0,42.86,0,0.0,0.0,0.0
Gujarat Titans,Manav Suthar,025c4400,Bowler,Left-arm orthodox,1,2.0,1.0,50.0,1,12.0,0.0,13.0
Gujarat Titans,Gurnoor Brar,99258814,All-rounder,Left-arm orthodox,0,0.0,0.0,0.0,1,18.0,0.0,14.0
Gujarat Titans,Nishant Sindhu,3cea23da,All-rounder,Left-arm orthodox,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kolkata Knight Riders,Ajinkya Rahane,29e95537,Batter,Medium,183,4021.0,5032.0,125.14,1,6.0,1.0,5.0
Kolkata Knight Riders,Manish Pandey,93b4fc78,Batter,Medium,161,3235.0,3942.0,121.85,0,0.0,0.0,0.0
Kolkata Knight Riders,Sunil Narine,9d430b40,All-rounder,Off-spin,118,1068.0,1780.0,166.67,187,4345.0,192.0,6.93
Kolkata Knight Riders,Rahul Tripathi,77255a9e,Batter,Leg-spin,98,1655.0,2291.0,138.43,1,6.0,0.0,12.0
Kolkata Knight Riders,Rinku Singh,0a509d6b,Batter,Medium,51,750.0,1099.0,146.53,0,0.0,0.0,0.0
Kolkata Knight Riders,Rovman Powell,650d5e49,Batter,Medium,23,249.0,365.0,146.59,2,18.0,1.0,11.67
Kolkata Knight Riders,Ramandeep Singh,be24ead0,All-rounder,Medium,20,135.0,217.0,160.74,4,40.0,6.0,9.6
Kolkata Knight Riders,Rachin Ravindra,ba5e1069,All-rounder,Left-arm orthodox,18,284.0,413.0,145.42,2,12.0,0.0,3.5
Kolkata Knight Riders,Angkrish Raghuvanshi,d7017798,Batter,Medium,18,319.0,463.0,145.14,0,0.0,0.0,0.0
Kolkata Knight Riders,Varun Chakravarthy,5b7ab5a9,Bowler,Off-spin,11,47.0,26.0,55.32,83,1890.0,100.0,7.72
Kolkata Knight Riders,Harshit Rana,77b1aa15,Bowler,Fast,10,55.0,59.0,107.27,32,649.0,40.0,9.68
Kolkata Knight Riders,Vaibhav Arora,7c3b3b78,Bowler,Fast,9,24.0,9.0,37.5,32,639.0,36.0,9.66
Kolkata Knight Riders,Anukul Roy,e4cdf230,All-rounder,Left-arm orthodox,7,25.0,26.0,104.0,10,160.0,6.0,8.18
Kolkata Knight Riders,Kartik Tyagi,5d2eea49,Bowler,Fast,6,16.0,13.0,81.25,20,422.0,15.0,10.24
Kolkata Knight Riders,Umran Malik,81c08fa3,Bowler,Fast,5,15.0,23.0,153.33,26,494.0,29.0,9.53
Kolkata Knight Riders,Akash Deep,0a67aec0,Bowler,Fast,5,14.0,25.0,178.57,14,278.0,10.0,11.96
Kolkata Knight Riders,Finn Allen,b52ffbbd,Wicketkeeper,Medium,3,18.0,14.0,77.78,4,90.0,2.0,9.07
Kolkata Knight Riders,Tim Seifert,4663bd23,Wicketkeeper,Medium,3,23.0,26.0,113.04,0,0.0,0.0,0.0
Kolkata Knight Riders,Tejasvi Singh,0bf15e52,Wicketkeeper,Medium,0,0.0,0.0,0.0,1,24.0,1.0,8.5
Kolkata Knight Riders,Cameron Green,19b9f399,All-rounder,Fast,0,0.0,0.0,0.0,1,17.0,0.0,8.47
Kolkata Knight Riders,Prashant Solanki,c695b423,Bowler,Left-arm orthodox,0,0.0,0.0,0.0,2,36.0,2.0,6.5
Kolkata Knight Riders,Matheesha Pathirana,64839cb3,Bowler,Fast,0,0.0,0.0,0.0,32,702.0,47.0,8.95
Kolkata Knight Riders,Daksh Kamra,1a628a92,All-rounder,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kolkata Knight Riders,Sarthak Ranjan,d7cdefa9,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lucknow Super Giants,Rishabh Pant,919a3be2,Wicketkeeper,Medium,123,2398.0,3553.0,148.17,0,0.0,0.0,0.0
Lucknow Super Giants,Nicholas Pooran,3241e3fd,Wicketkeeper,Medium,86,1353.0,2293.0,169.48,0,0.0,0.0,0.0
Lucknow Super Giants,Aiden Markram,6a26221c,All-rounder,Off-spin,55,1062.0,1440.0,135.59,19,187.0,6.0,8.82
Lucknow Super Giants,Abdul Samad,8e514b4c,Batter,Leg-spin,51,485.0,741.0,152.78,6,56.0,2.0,12.75
Lucknow Super Giants,Mitchell Marsh,3d8feaf8,All-rounder,Fast,49,902.0,1292.0,143.24,34,560.0,37.0,8.6
Lucknow Super Giants,Ayush Badoni,872b03f7,Batter,Leg-spin,46,693.0,963.0,138.96,7,35.0,4.0,8.57
Lucknow Super Giants,Mohammed Shami,8cf9814c,Bowler,Fast,27,89.0,84.0,94.38,119,2607.0,133.0,8.81
Lucknow Super Giants,Wanindu Hasaranga,a97c8ec2,All-rounder,Leg-spin,19,88.0,81.0,92.05,37,798.0,46.0,8.53
Lucknow Super Giants,Anrich Nortje,acdc62f5,Bowler,Fast,13,49.0,49.0,100.0,48,1096.0,61.0,9.31
Lucknow Super Giants,Avesh Khan,eef2536f,Bowler,Fast,13,37.0,62.0,167.57,75,1619.0,87.0,9.25
Lucknow Super Giants,Josh Inglis,989889ff,Wicketkeeper,Medium,11,171.0,278.0,162.57,0,0.0,0.0,0.0
Lucknow Super Giants,Mohsin Khan,c33d8116,Bowler,Fast,5,24.0,25.0,104.17,23,486.0,27.0,8.62
Lucknow Super Giants,Arshin Kulkarni,2d140b79,All-rounder,Off-spin,2,8.0,9.0,112.5,0,0.0,0.0,0.0
Lucknow Super Giants,Digvesh Rathi,13fc5c6d,Wicketkeeper,Medium,1,3.0,1.0,33.33,13,312.0,14.0,8.37
Lucknow Super Giants,Arjun Tendulkar,44aac2f0,Bowler,Fast,1,9.0,13.0,144.44,5,73.0,3.0,9.62
Lucknow Super Giants,Matthew Breetzke,35f173a0,Batter,Medium,1,12.0,14.0,116.67,0,0.0,0.0,0.0
Lucknow Super Giants,Akash Singh,b483905d,Bowler,Fast,0,0.0,0.0,0.0,10,205.0,9.0,9.54
Lucknow Super Giants,Manimaran Siddharth,cf0ccafa,Bowler,Left-arm orthodox,0,0.0,0.0,0.0,5,97.0,3.0,8.66
Lucknow Super Giants,Mayank Yadav,c6355538,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Lucknow Super Giants,Himmat Singh,ebcfef83,All-rounder,Off-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mumbai Indians,Rohit Sharma,740742ef,Batter,Off-spin,266,5315.0,7046.0,132.57,32,339.0,15.0,8.18
Mumbai Indians,Suryakumar Yadav,271f83cd,Batter,Off-spin,151,2888.0,4311.0,149.27,1,6.0,0.0,8.0
Mumbai Indians,Hardik Pandya,dbe50b21,All-rounder,Fast,140,1862.0,2749.0,147.64,107,1628.0,78.0,9.36
Mumbai Indians,Quinton de Kock,372455c4,Wicketkeeper,Medium,115,2462.0,3309.0,134.4,0,0.0,0.0,0.0
Mumbai Indians,Tilak Varma,b0482a1d,All-rounder,Off-spin,51,1032.0,1499.0,145.25,4,22.0,0.0,7.64
Mumbai Indians,Shardul Thakur,1abb78f8,All-rounder,Fast,40,232.0,325.0,140.09,102,2070.0,107.0,9.52
Mumbai Indians,Jasprit Bumrah,462411b3,Bowler,Fast,27,78.0,68.0,87.18,145,3337.0,183.0,7.43
Mumbai Indians,Trent Boult,a818c1be,Bowler,Fast,24,81.0,85.0,104.94,119,2683.0,143.0,8.48
Mumbai Indians,Mohammed Izhar,2f49c897,Bowler,Fast,21,121.0,112.0,92.56,108,2300.0,109.0,8.96
Mumbai Indians,Sherfane Rutherford,d014d5ac,All-rounder,Medium,20,288.0,397.0,137.85,6,41.0,1.0,8.78
Mumbai Indians,Mitchell Santner,e4a0deae,All-rounder,Left-arm orthodox,19,103.0,110.0,106.8,31,603.0,25.0,7.4
Mumbai Indians,Naman Dhir,fffa744b,All-rounder,Left-arm orthodox,19,216.0,392.0,181.48,5,52.0,0.0,8.77
Mumbai Indians,Will Jacks,9caf69a1,All-rounder,Off-spin,19,302.0,463.0,153.31,13,138.0,8.0,9.61
Mumbai Indians,Deepak Chahar,23eeb873,Bowler,Fast,16,84.0,117.0,139.29,95,1915.0,88.0,8.21
Mumbai Indians,Ryan Rickelton,e66732f8,Batter,Medium,14,255.0,388.0,152.16,0,0.0,0.0,0.0
Mumbai Indians,Mayank Markande,a9fd84fb,Bowler,Leg-spin,10,42.0,48.0,114.29,37,720.0,37.0,9.01
Mumbai Indians,Raj Bawa,ba6b2f91,All-rounder,Fast,3,18.0,19.0,105.56,0,0.0,0.0,0.0
Mumbai Indians,Corbin Bosch,172dff15,All-rounder,Fast,2,32.0,47.0,146.88,2,42.0,1.0,8.0
Mumbai Indians,Robin Minz,bafd0398,Wicketkeeper,Medium,2,15.0,6.0,40.0,0,0.0,0.0,0.0
Mumbai Indians,Ashwani Kumar,d45c29b1,Bowler,Fast,0,0.0,0.0,0.0,7,123.0,11.0,11.41
Mumbai Indians,AM Ghazanfar,9ca68676,Bowler,Off-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mumbai Indians,Danish Malewar,,Batter,Leg-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mumbai Indians,Atharva Ankolekar,d6cd318e,Bowler,Left-arm orthodox,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Mumbai Indians,Raghu Sharma,5b615e7c,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Punjab Kings,Shreyas Iyer,85ec8e33,Batter,Leg-spin,131,2790.0,3731.0,133.73,1,6.0,0.0,7.0
Punjab Kings,Marcus Stoinis,d9273ee7,All-rounder,Fast,99,1393.0,2026.0,145.44,71,888.0,44.0,9.98
Punjab Kings,Harnoor Singh,8b5b6769,Batter,Medium,88,599.0,833.0,139.07,160,3416.0,150.0,7.2
Punjab Kings,Prabhsimran Singh,9418198b,Wicketkeeper,Medium,52,884.0,1355.0,153.28,0,0.0,0.0,0.0
Punjab Kings,Shashank Singh,26989d80,All-rounder,Medium,33,490.0,773.0,157.76,4,30.0,1.0,10.4
Punjab Kings,Nehal Wadhera,d1a60072,Batter,Medium,31,501.0,719.0,143.51,2,17.0,0.0,7.76
Punjab Kings,Harpreet Brar,c05edf8e,All-rounder,Left-arm orthodox,26,203.0,244.0,120.2,46,811.0,35.0,8.12
Punjab Kings,Marco Jansen,81c36ee9,All-rounder,Fast,20,129.0,141.0,109.3,35,735.0,36.0,9.63
Punjab Kings,Priyansh Arya,b5797845,Batter,Medium,18,298.0,545.0,182.89,0,0.0,0.0,0.0
Punjab Kings,Yuzvendra Chahal,57ee1fde,Bowler,Leg-spin,17,86.0,37.0,43.02,172,3791.0,221.0,8.09
Punjab Kings,Arshdeep Singh,244048f6,Bowler,Fast,13,46.0,31.0,67.39,81,1714.0,97.0,9.19
Punjab Kings,Azmatullah Omarzai,8f6dd463,All-rounder,Fast,9,74.0,99.0,133.78,15,288.0,12.0,9.92
Punjab Kings,Lockie Ferguson,2f9d0389,Bowler,Fast,8,46.0,72.0,156.52,49,1023.0,51.0,9.13
Punjab Kings,Vishnu Vinod,0494fa6e,Wicketkeeper,Medium,6,56.0,56.0,100.0,0,0.0,0.0,0.0
Punjab Kings,Vijaykumar Vyshak,54e52590,Bowler,Fast,4,12.0,14.0,116.67,16,333.0,17.0,10.4
Punjab Kings,Suryansh Shedge,970ddd24,All-rounder,Off-spin,3,11.0,7.0,63.64,1,18.0,0.0,13.33
Punjab Kings,Musheer Khan,d621b427,All-rounder,Left-arm orthodox,1,3.0,0.0,0.0,1,12.0,1.0,13.5
Punjab Kings,Xavier Bartlett,3b53243a,Bowler,Fast,1,15.0,11.0,73.33,4,60.0,2.0,9.6
Punjab Kings,Yash Thakur,4b31f3a3,Bowler,Fast,0,0.0,0.0,0.0,21,443.0,25.0,10.59
Punjab Kings,Pyla Avinash,,Batter,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Punjab Kings,Cooper Connolly,fe366f34,All-rounder,Left-arm orthodox,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Punjab Kings,Ben Dwarshuis,e1b9f3a9,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rajasthan Royals,Ravindra Jadeja,fe93fd9d,All-rounder,Left-arm orthodox,194,2489.0,3260.0,130.98,225,4056.0,170.0,7.75
Rajasthan Royals,Shimron Hetmyer,48a1d7b7,Batter,Medium,78,971.0,1482.0,152.63,0,0.0,0.0,0.0
Rajasthan Royals,Shubham Dubey,a4e37e47,Batter,Medium,75,1290.0,1859.0,144.11,15,124.0,5.0,10.79
Rajasthan Royals,Riyan Parag,04a418e8,All-rounder,Off-spin,72,1100.0,1566.0,142.36,30,295.0,7.0,9.72
Rajasthan Royals,Yashasvi Jaiswal,6c19c6e5,Batter,Left-arm orthodox,66,1412.0,2166.0,153.4,1,1.0,0.0,36.0
Rajasthan Royals,Sam Curran,e94915e6,All-rounder,Fast,53,725.0,997.0,137.52,63,1253.0,59.0,9.86
Rajasthan Royals,Ravi Singh,0a509d6b,Batter,Medium,51,750.0,1099.0,146.53,0,0.0,0.0,0.0
Rajasthan Royals,Dhruv Jurel,bcf325d2,Wicketkeeper,Medium,35,442.0,680.0,153.85,0,0.0,0.0,0.0
Rajasthan Royals,Jofra Archer,5574750c,Bowler,Fast,30,174.0,262.0,150.57,52,1221.0,59.0,8.13
Rajasthan Royals,Sandeep Sharma,ce820073,Bowler,Fast,26,74.0,60.0,81.08,136,3041.0,146.0,8.13
Rajasthan Royals,Brijesh Sharma,c18496e1,All-rounder,Medium,17,123.0,187.0,152.03,28,426.0,17.0,8.18
Rajasthan Royals,Ravi Bishnoi,df064e1a,Bowler,Leg-spin,16,66.0,45.0,68.18,76,1633.0,72.0,8.31
Rajasthan Royals,Tushar Deshpande,46a9bea1,Bowler,Fast,8,22.0,28.0,127.27,46,966.0,51.0,10.04
Rajasthan Royals,Vaibhav Suryavanshi,470f446b,Batter,Medium,7,121.0,252.0,208.26,0,0.0,0.0,0.0
Rajasthan Royals,Adam Milne,350bb1b1,Bowler,Fast,6,29.0,23.0,79.31,10,207.0,7.0,9.83
Rajasthan Royals,Yudhvir Singh,4885bbe6,All-rounder,Medium,4,16.0,22.0,137.5,9,139.0,8.0,11.09
Rajasthan Royals,Donovan Ferreira,f0af99a7,Batter,Off-spin,3,14.0,9.0,64.29,0,0.0,0.0,0.0
Rajasthan Royals,Kuldeep Sen,2e78f685,Bowler,Fast,1,3.0,0.0,0.0,12,241.0,14.0,9.86
Rajasthan Royals,Kwena Maphaka,107c26fb,Bowler,Fast,1,2.0,8.0,400.0,4,66.0,2.0,13.45
Rajasthan Royals,Nandre Burger,465aa633,Bowler,Fast,0,0.0,0.0,0.0,5,102.0,7.0,8.94
Rajasthan Royals,Vignesh Puthur,1e030637,Bowler,Leg-spin,0,0.0,0.0,0.0,5,72.0,6.0,9.08
Rajasthan Royals,Yash Raj Punja,,Bowler,Leg-spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rajasthan Royals,Aman Rao,0420f51f,Wicketkeeper,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rajasthan Royals,Sushant Mishra,c562ac6d,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Rajasthan Royals,Lhuan-dre Pretorius,60aa2db3,All-rounder,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Virat Kohli,ba607b88,Batter,Medium,259,6501.0,8661.0,133.23,26,251.0,4.0,8.87
Royal Challengers Bengaluru,Krunal Pandya,5b8c830e,All-rounder,Left-arm orthodox,114,1324.0,1756.0,132.63,132,2398.0,93.0,7.57
Royal Challengers Bengaluru,Devdutt Padikkal,2c25d4f5,Batter,Medium,74,1425.0,1806.0,126.74,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Bhuvneshwar Kumar,2e81a32d,Bowler,Fast,71,350.0,320.0,91.43,190,4222.0,198.0,7.87
Royal Challengers Bengaluru,Venkatesh Iyer,a24be938,All-rounder,Medium,56,1068.0,1468.0,137.45,9,81.0,3.0,10.74
Royal Challengers Bengaluru,Jitesh Sharma,800d2d97,Wicketkeeper,Medium,47,628.0,991.0,157.8,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Tim David,f1f99156,Batter,Off-spin,44,484.0,846.0,174.79,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Rajat Patidar,c740ea83,Batter,Off-spin,38,719.0,1111.0,154.52,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Phil Salt,3d284ca3,Wicketkeeper,Medium,34,595.0,1056.0,177.48,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Abhinandan Singh,244048f6,Bowler,Fast,13,46.0,31.0,67.39,81,1714.0,97.0,9.19
Royal Challengers Bengaluru,Romario Shepherd,c5aef772,All-rounder,Fast,12,85.0,185.0,217.65,15,210.0,10.0,11.89
Royal Challengers Bengaluru,Swapnil Singh,983f2f61,All-rounder,Left-arm orthodox,9,45.0,51.0,113.33,14,162.0,7.0,8.93
Royal Challengers Bengaluru,Josh Hazlewood,03806cf8,Bowler,Fast,7,29.0,19.0,65.52,39,867.0,57.0,8.44
Royal Challengers Bengaluru,Yash Dayal,7210d461,Bowler,Fast,4,9.0,4.0,44.44,43,872.0,41.0,9.72
Royal Challengers Bengaluru,Jacob Bethell,3c55c703,All-rounder,Left-arm orthodox,2,39.0,67.0,171.79,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Suyash Sharma,9440ef41,Bowler,Leg-spin,0,0.0,0.0,0.0,27,558.0,18.0,8.98
Royal Challengers Bengaluru,Mangesh Yadav,b1ad996b,Bowler,Fast,0,0.0,0.0,0.0,6,121.0,9.0,9.32
Royal Challengers Bengaluru,Raqibul Hasan,17efdeb8,Batter,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Satvik Deswal,,Bowler,Left-arm wrist spin,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Jacob Duffy,dadbdb68,Bowler,Fast,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Royal Challengers Bengaluru,Jordan Cox,ff154ecd,Wicketkeeper,Medium,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Sunrisers Hyderabad,Ishan Kishan,752f7486,Wicketkeeper,Medium,112,2171.0,2998.0,138.09,1,1.0,0.0,24.0
Sunrisers Hyderabad,Abhishek Sharma,f29185a1,All-rounder,Left-arm orthodox,74,1108.0,1816.0,163.9,32,336.0,11.0,9.09
Sunrisers Hyderabad,Pat Cummins,ded9240e,Bowler,Fast,48,400.0,612.0,153.0,72,1617.0,79.0,9.04
Sunrisers Hyderabad,Liam Livingstone,50c6bc2b,All-rounder,Leg-spin,47,655.0,1051.0,160.46,27,312.0,13.0,9.06
Sunrisers Hyderabad,Heinrich Klaasen,235c2bb6,Wicketkeeper,Medium,45,863.0,1480.0,171.49,0,0.0,0.0,0.0
